Sample	Primary	Secondary
22Pl089-021228183801_S674	Omicron(BA.1)	Delta
Pl858-021228183801_S172	Delta	Omicron(BA.1)
Pl882-021228537801_S1293	Omicron(BA.1)	Delta
Pl910-021228537801_S875	Omicron(BA.1)	Delta
Pl869-021229656701_S82	Delta	Omicron(BA.1)
Pl910-021229656701_S869	Delta	Omicron(BA.1)
Pl880-021229689701_S1146	Delta	Omicron(BA.1)
Pl934-021229689701_S153	Delta	Omicron(BA.1)
Pl909-021229716701_S859	Delta	Omicron(BA.1)
Pl881-021229716701_S1155	Delta	Omicron(BA.1)
Pl867-021230372801_S641	Delta	Omicron(BA.1)
Pl899-021230372801_S264	Delta	Omicron(BA.1)
Pl863-021230389101_S1439	Delta	Omicron(BA.1)
Pl899-021230389101_S266	Delta	Omicron(BA.1)
Pl918-021233506101_S919	Delta	Omicron(BA.1)
Pl998-021233506101_S361	Delta	Omicron(BA.1)
22Pl64-022000041301_S1440	Delta	Omicron(BA.1)
Pl913-022000041301_S1239	Delta	Omicron(BA.1)
Pl997-022000194701_S287	Delta	Omicron(BA.1)
22Pl51-022000194701_S582	Delta	Omicron(BA.1)
Pl998-022001250001_S289	Delta	Omicron(BA.1)
Pl914-022001250001_S1275	Delta	Omicron(BA.1)
Pl939-022002271301_S578	Delta	Omicron(BA.1)
WTA-022002271301_S1	Delta	Omicron(BA.1)
Pl943-022002742001_S989	Omicron(BA.1)	Delta
Pl998-022002742001_S308	Omicron(BA.1)	Delta
Pl944-022002880701_S1072	Delta	Omicron(BA.1)
Pl1001-022002880701_S665	Delta	Omicron(BA.1)
Pl997-022003494901_S268	Delta	Omicron(BA.1)
Pl940-022003494901_S686	Omicron(BA.1)	Delta
Pl997-022003579801_S271	Delta	Omicron(BA.2)
22Pl51-022003579801_S581	Delta	Omicron(BA.2)
Pl932-022003603501_S738	Omicron(BA.1)	Delta
Pl998-022003603501_S301	Omicron(BA.1)	Delta
Pl005-022006675901_S109	Delta	Omicron(BA.1)
22Pl64-022006675901_S1383	Delta	Omicron(BA.1)
22Pl089-022006695301_S676	Omicron(BA.1)	Delta
22Pl64-022006695301_S1423	Omicron(BA.1)	Delta
22Pl0028-022009381501_S1156	Delta	Omicron(BA.1)
Pl982-022009381501_S648	Delta	Omicron(BA.1)
22Pl64-022010362801_S1422	Delta	Omicron(BA.1)
Pl995-022010362801_S42	Delta	Omicron(BA.1)
Pl994-022011027601_S691	Omicron(BA.1)	Delta
22Pl64-022011027601_S1415	Omicron(BA.1)	Delta
Pl002-022012448401_S530	Delta	Omicron(BA.1)
22Pl66-022012448401_S451	Delta	Omicron(BA.1)
22Pl43-022013385301_S131	Omicron(BA.1)	Delta
22Pl51-022013385301_S583	Delta	Omicron(BA.1)
Pl017-022014149701_S1425	Delta	Omicron(BA.1)
22Pl71-022014149701_S1257	Delta	Omicron(BA.1)
22Pl116-022018119701_S439	Omicron(BA.1)	Delta
22Pl43-022018119701_S174	Omicron(BA.1)	Delta
Pl036-722000064901_S1148	Omicron(BA.1)	Delta
22Pl089-722000064901_S701	Omicron(BA.1)	Delta
22Pl52-722000128001_S32	Omicron(BA.1)	Omicron(BA.2)
22Pl149-722000128001_S341	Omicron(BA.1)	Omicron(BA.2)
22Pl149-722000135801_S339	Omicron(BA.1)	Omicron(BA.2)
22Pl55-722000135801_S303	Omicron(BA.2)	Omicron(BA.1)
22Pl72-722000222901_S1433	Omicron(BA.1)	Omicron(BA.2)
22Pl150-722000222901_S394	Omicron(BA.1)	Omicron(BA.2)
22Pl083-722000226101_S135	Omicron(BA.1)	Omicron(BA.2)
22Pl150-722000226101_S398	Omicron(BA.1)	Omicron(BA.2)
22Pl094-722000314801_S1252	Delta	Omicron(BA.1)
22Pl150-722000314801_S424	Delta	Omicron(BA.1)
22Pl093-722000317001_S1133	Omicron(BA.1)	Delta
22Pl150-722000317001_S426	Omicron(BA.1)	Delta
22Pl102-722000343801_S488	Omicron(BA.2)	Omicron(BA.1)
22Pl150-722000343801_S437	Omicron(BA.2)	Omicron(BA.1)
22Pl114-722000573001_S1418	Omicron(BA.1)	Omicron(BA.2)
22Pl193-722000573001_S951	Omicron(BA.1)	Omicron(BA.2)
22Pl133-722000605701_S217	Omicron(BA.2)	Omicron(BA.1)
22Pl175-722000605701_S757	Omicron(BA.2)	Omicron(BA.1)
22Pl136a-722000648801_S469	Omicron(BA.1)	Omicron(BA.2)
22Pl167-722000648801_S1275	Omicron(BA.1)	Omicron(BA.2)
22Pl146-722000760201_S43	Omicron(BA.2)	Omicron(BA.1)
22Pl175-722000760201_S758	Omicron(BA.2)	Omicron(BA.1)
22Pl188-722000768601_S409	Omicron(BA.2)	Omicron(BA.1)
22Pl153-722000768601_S696	Omicron(BA.2)	Omicron(BA.1)
22Pl188-722000794001_S422	Omicron(BA.2)	Omicron(BA.1)
22Pl159-722000794001_S214	Omicron(BA.2)	Omicron(BA.1)
22Pl157-722000795201_S744	Omicron(BA.2)	Omicron(BA.1)
22Pl175-722000795201_S762	Omicron(BA.1)	Omicron(BA.2)
22Pl175-722000801101_S763	Omicron(BA.2)	Omicron(BA.1)
22Pl155a-722000801101_S571	Omicron(BA.2)	Omicron(BA.1)
22Pl155a-722000801801_S551	Omicron(BA.2)	Omicron(BA.1)
22Pl175-722000801801_S754	Omicron(BA.2)	Omicron(BA.1)
22Pl188-722000815401_S433	Omicron(BA.1)	Omicron(BA.2)
22Pl158-722000815401_S109	Omicron(BA.1)	Omicron(BA.2)
22Pl188-722000852101_S454	Omicron(BA.2)	Omicron(BA.1)
22Pl165-722000852101_S1077	Omicron(BA.2)	Omicron(BA.1)
22Pl188-722000852701_S457	Omicron(BA.2)	Omicron(BA.1)
22Pl166-722000852701_S1216	Omicron(BA.2)	Omicron(BA.1)
22Pl164-722000866501_S1029	Omicron(BA.2)	Omicron(BA.1)
22Pl188-722000866501_S460	Omicron(BA.2)	Omicron(BA.1)
22Pl219-722000892601_S351	Omicron(BA.1)	Omicron(BA.2)
22Pl170-722000892601_S196	Omicron(BA.1)	Omicron(BA.2)
22Pl219-722000898501_S355	Omicron(BA.1)	Omicron(BA.2)
22Pl172-722000898501_S427	Omicron(BA.1)	Omicron(BA.2)
22Pl219-722000899001_S356	Omicron(BA.1)	Omicron(BA.2)
22Pl172-722000899001_S454	Omicron(BA.1)	Omicron(BA.2)
22Pl220-722000928201_S408	Omicron(BA.2)	Omicron(BA.1)
22Pl177-722000928201_S942	Omicron(BA.2)	Omicron(BA.1)
22Pl220-722000930201_S412	Omicron(BA.1)	Omicron(BA.2)
22Pl179-722000930201_S1066	Omicron(BA.1)	Omicron(BA.2)
22Pl180-722000946901_S1183	Omicron(BA.1)	Omicron(BA.2)
22Pl220-722000946901_S428	Omicron(BA.1)	Omicron(BA.2)
